session,answers,correct,accuracy
1,15,1,0.06666666666666667
2,15,0,0.0
3,15,1,0.06666666666666667
4,15,0,0.0
5,15,0,0.0
6,15,1,0.06666666666666667
7,15,2,0.13333333333333333
8,15,1,0.06666666666666667
9,15,0,0.0
10,15,1,0.06666666666666667
11,15,0,0.0
12,15,1,0.06666666666666667
13,15,0,0.0
14,15,2,0.13333333333333333
15,15,0,0.0
16,15,1,0.06666666666666667
17,15,0,0.0
18,15,1,0.06666666666666667
19,15,1,0.06666666666666667
20,15,1,0.06666666666666667
21,15,1,0.06666666666666667
22,15,0,0.0
23,15,1,0.06666666666666667
24,15,0,0.0
25,15,2,0.13333333333333333
26,15,0,0.0
27,15,1,0.06666666666666667
28,15,1,0.06666666666666667
29,15,1,0.06666666666666667
30,15,1,0.06666666666666667
31,15,1,0.06666666666666667
32,15,1,0.06666666666666667
33,15,0,0.0
34,15,1,0.06666666666666667
35,15,0,0.0
36,15,1,0.06666666666666667
37,15,1,0.06666666666666667
38,15,0,0.0
39,15,2,0.13333333333333333
40,15,1,0.06666666666666667
41,15,0,0.0
42,15,0,0.0
43,15,0,0.0
44,15,0,0.0
45,15,1,0.06666666666666667
46,15,0,0.0
47,15,1,0.06666666666666667
48,15,1,0.06666666666666667
49,15,1,0.06666666666666667
50,15,0,0.0
