session,answers,correct,accuracy
1,15,0,0.0
2,15,0,0.0
3,15,1,0.06666666666666667
4,15,1,0.06666666666666667
5,15,1,0.06666666666666667
6,15,1,0.06666666666666667
7,15,0,0.0
8,15,0,0.0
9,15,0,0.0
10,15,1,0.06666666666666667
11,15,0,0.0
12,15,0,0.0
13,15,0,0.0
14,15,1,0.06666666666666667
15,15,1,0.06666666666666667
16,15,1,0.06666666666666667
17,15,1,0.06666666666666667
18,15,1,0.06666666666666667
19,15,1,0.06666666666666667
20,15,0,0.0
21,15,1,0.06666666666666667
22,15,0,0.0
23,15,0,0.0
24,15,1,0.06666666666666667
25,15,1,0.06666666666666667
26,15,1,0.06666666666666667
27,15,1,0.06666666666666667
28,15,0,0.0
29,15,1,0.06666666666666667
30,15,0,0.0
31,15,0,0.0
32,15,0,0.0
33,15,1,0.06666666666666667
34,15,0,0.0
35,15,0,0.0
36,15,0,0.0
37,15,0,0.0
38,15,0,0.0
39,15,0,0.0
40,15,0,0.0
41,15,1,0.06666666666666667
42,15,0,0.0
43,15,1,0.06666666666666667
44,15,1,0.06666666666666667
45,15,1,0.06666666666666667
46,15,1,0.06666666666666667
47,15,1,0.06666666666666667
48,15,1,0.06666666666666667
49,15,0,0.0
50,15,1,0.06666666666666667
